0	(0.0, 0.065, 0.935)
1	(0.0, 0.0, 1.0)
2	(0.032520325203252036, 0.0, 0.967479674796748)
3	(0.012345679012345678, 0.0, 0.9876543209876543)
4	(0.0, 0.0, 1.0)
5	(0.02066869300911854, 0.0012158054711246201, 0.9781155015197568)
6	(0.0, 0.0, 1.0)
7	(0.0, 0.0, 1.0)
8	(0.0, 0.8227684346701164, 0.17723156532988357)
9	(0.0, 0.0, 1.0)
10	(0.02197802197802198, 0.8021978021978022, 0.17582417582417584)
11	(0.016455696202531647, 0.006962025316455696, 0.9765822784810126)
12	(0.010416666666666666, 0.0, 0.9895833333333334)
13	(0.11764705882352941, 0.0, 0.8823529411764706)
14	(0.0027816411682892906, 0.0013908205841446453, 0.9958275382475661)
15	(0.0, 0.0, 1.0)
16	(0.0, 0.0, 1.0)
17	(0.0, 0.14030612244897958, 0.8596938775510204)
18	(0.0, 0.0, 1.0)
19	(0.0, 0.8636363636363636, 0.13636363636363635)
20	(0.0, 0.0, 1.0)
21	(0.0, 0.0, 1.0)
22	(0.0, 0.0, 1.0)
23	(0.0, 0.0, 1.0)
24	(0.0, 0.025830258302583026, 0.974169741697417)
25	(0.0, 0.0, 1.0)
26	(0.06741573033707865, 0.0, 0.9325842696629213)
27	(0.0, 0.0, 1.0)
28	(0.0, 0.0, 1.0)
29	(0.0, 0.0, 1.0)
30	(0.0, 0.022988505747126436, 0.9770114942528736)
31	(0.0, 0.0, 1.0)
32	(0.007352941176470588, 0.0, 0.9926470588235294)
33	(0.0, 0.0, 1.0)
34	(0.0, 0.0, 1.0)
35	(0.0, 0.0, 1.0)
36	(0.0, 0.0, 1.0)
37	(0.014354066985645933, 0.0, 0.9856459330143541)
38	(0.0, 1.0, 0.0)
39	(0.0, 0.0, 1.0)
40	(0.0, 0.0, 1.0)
41	(0.0, 0.0, 1.0)
42	(0.0, 0.0, 1.0)
43	(0.0, 0.0, 1.0)
44	(0.0, 0.25925925925925924, 0.7407407407407407)
45	(0.0, 0.7493540051679587, 0.25064599483204136)
46	(0.0, 0.0072992700729927005, 0.9927007299270073)
47	(0.007425742574257425, 0.0, 0.9925742574257426)
48	(0.0, 0.0, 1.0)
49	(0.0, 0.0, 1.0)
50	(0.0, 0.00228310502283105, 0.997716894977169)
51	(0.0, 0.0, 1.0)
52	(0.0, 0.0, 1.0)
53	(0.0, 0.0, 1.0)
54	(0.7104874446085672, 0.019202363367799114, 0.27031019202363366)
55	(0.0, 0.0, 1.0)
56	(0.0, 0.0, 1.0)
57	(0.0, 0.0, 1.0)
58	(0.0, 0.0, 1.0)
59	(0.0, 0.9418604651162791, 0.05813953488372093)
60	(0.0, 1.0, 0.0)
61	(0.0, 0.0, 1.0)
62	(0.0, 0.0, 1.0)
63	(0.0, 0.0, 1.0)
64	(0.0, 0.0, 1.0)
65	(0.0, 0.010050251256281407, 0.9899497487437185)
66	(0.0, 0.0, 1.0)
67	(0.0, 0.0, 1.0)
68	(0.0, 0.0, 1.0)
69	(0.0, 0.0, 1.0)
70	(0.08163265306122448, 0.8979591836734694, 0.02040816326530612)
71	(0.0, 0.0, 1.0)
72	(0.0, 0.0, 1.0)
73	(0.0, 0.0, 1.0)
74	(0.0, 0.0, 1.0)
75	(0.0, 0.03125, 0.96875)
76	(0.0, 0.0, 1.0)
77	(0.0, 0.0, 1.0)
78	(0.018192604310856238, 0.7316590864148704, 0.2501483092742733)
79	(0.0, 0.9074074074074074, 0.09259259259259259)
80	(0.015503875968992248, 0.0015503875968992248, 0.9829457364341085)
81	(0.0, 0.948051948051948, 0.05194805194805195)
82	(0.006493506493506494, 0.775974025974026, 0.21753246753246752)
83	(0.0, 0.875, 0.125)
84	(0.0, 0.0, 1.0)
85	(0.0, 0.9087656529516994, 0.09123434704830054)
86	(0.0, 0.0, 1.0)
87	(0.000407000407000407, 0.022792022792022793, 0.9768009768009768)
88	(0.10465116279069768, 0.8953488372093024, 0.0)
89	(0.0, 0.8211764705882353, 0.17882352941176471)
90	(0.0, 0.0, 1.0)
91	(0.0, 0.0, 1.0)
92	(0.0, 0.0, 1.0)
93	(0.0, 0.0, 1.0)
94	(0.0, 0.005649717514124294, 0.9943502824858758)
95	(0.0, 0.0, 1.0)
96	(0.0, 0.0, 1.0)
97	(0.0, 0.0, 1.0)
98	(0.0020325203252032522, 0.0, 0.9979674796747967)
99	(0.0025188916876574307, 0.7405541561712846, 0.25692695214105793)
100	(0.0, 0.7956989247311828, 0.20430107526881722)
101	(0.003472222222222222, 0.8107638888888888, 0.1857638888888889)
102	(0.0, 0.8473282442748091, 0.15267175572519084)
103	(0.0, 0.0, 1.0)
104	(0.0, 0.0, 1.0)
105	(0.0, 0.0, 1.0)
106	(0.013565891472868217, 0.050387596899224806, 0.936046511627907)
107	(0.0, 0.0, 1.0)
108	(0.07407407407407407, 0.0, 0.9259259259259259)
109	(0.0, 0.0, 1.0)
110	(0.0, 0.004552352048558422, 0.9954476479514416)
111	(0.009986684420772303, 0.019307589880159785, 0.9707057256990679)
112	(0.0, 0.0, 1.0)
113	(0.0, 0.0, 1.0)
114	(0.0, 0.0, 1.0)
115	(0.0, 0.01932367149758454, 0.9806763285024155)
116	(0.019814241486068113, 0.0, 0.9801857585139319)
117	(0.0, 0.0, 1.0)
118	(0.0, 1.0, 0.0)
119	(0.010263929618768328, 0.0, 0.9897360703812317)
120	(0.0, 1.0, 0.0)
121	(0.005291005291005291, 0.783068783068783, 0.21164021164021163)
122	(0.0035026269702276708, 0.0, 0.9964973730297724)
123	(0.0, 0.77, 0.23)
124	(0.0, 0.0, 1.0)
125	(0.0, 0.0, 1.0)
126	(0.0, 0.0, 1.0)
127	(0.0, 0.0, 1.0)
128	(0.0, 0.9819819819819819, 0.018018018018018018)
129	(0.0, 0.007633587786259542, 0.9923664122137404)
130	(0.0, 0.0, 1.0)
131	(0.0018975332068311196, 0.08918406072106262, 0.9089184060721063)
132	(0.045454545454545456, 0.9545454545454546, 0.0)
133	(0.0, 0.0, 1.0)
134	(0.05220883534136546, 0.7108433734939759, 0.23694779116465864)
135	(0.6386138613861386, 0.18811881188118812, 0.17326732673267325)
136	(0.0, 0.005235602094240838, 0.9947643979057592)
137	(0.004705882352941176, 0.0, 0.9952941176470588)
138	(0.0, 0.0, 1.0)
139	(0.005847953216374269, 0.9005847953216374, 0.0935672514619883)
140	(0.014705882352941176, 0.0, 0.9852941176470589)
141	(0.022727272727272728, 0.0, 0.9772727272727273)
